SEQ_NFE;CHAVE_NOTA;COD_UF_EMIT;COD_UF_DEST;TIP_FIN_NFE;SEQ_PROD;COD_CEST;COD_CST;COD_NCM;COD_CFOP;TIP_OPERACAO;EMIT_COD_CNAE;EMIT_CRT;EMIT_IND_SN;DEST_CNAE_PRINC;DEST_IE;DEST_SITUACAO;DEST_IND_SUBLIMITE;DEST_IND_SN;TIPO_IMPOSTO
436268873;41250676610062000187550010005855981015855981;PR;AL;1;2930572146;1003000;0;69072100;6107;;;3;N;;;;0;N;DIFAL
436211673;41250678242849000169550030023473111899436554;PR;AL;1;2930265691;2100100;0;73211100;6107;;2751100;3;N;;;;0;N;DIFAL
436189830;35250626625305000182550020002260611201384368;SP;AL;1;2930188433;1200400;0;85365090;6106;;;3;N;;;;0;S;DIFAL
435821187;35250614726607000168550030000357401159555338;SP;AL;1;2928455361;2806200;0;21069030;6101;;;3;N;;;;0;N;DIFAL
437248939;42250604740770000989550010004528101715655678;SC;AL;1;2935463843;;0;63026000;6108;;4755503;3;N;;;;0;N;DIFAL
437090776;35250663310411003038550010036758391892552556;SP;AL;1;2934863720;1301600;0;39269090;6108;;4639701;3;N;;;;0;N;DIFAL
436628969;35250607670088000521550020000470151762192850;SP;AL;1;2932547744;;0;64041900;6108;;;3;N;;;;0;N;DIFAL
436627433;41250629223036000116550090000505611446280970;PR;AL;1;2932544188;0104900;0;84821090;6108;;;3;N;;;;0;N;DIFAL
436994712;43250627130979000179550010000082121101069115;RS;AL;1;2934324662;1301400;0;90183119;6108;;;3;N;;;;0;N;DIFAL
436948052;35250623229733000106550010001137421244560750;SP;AL;1;2934128030;1200700;10;85444200;6404;;;3;N;;;;0;N;DIFAL
435813968;35250647922317000149550010000037731604538709;SP;AL;1;2928447207;;0;21069030;6102;;;2;S;;;;0;N;DIFAL
435958905;35250643643492000146550010002047941220692673;SP;AL;1;2929001959;2803300;0;39249000;6108;;4759899;3;N;;;;0;N;DIFAL
435820920;35250634779282000350550090000000851065053327;SP;AL;1;2928456011;;0;33059000;6403;;;3;N;;;;0;S;DIFAL
436097379;35250659500377000152550010000000661198333800;SP;AL;1;2929698208;;0;82121010;6102;;;3;N;;;;0;N;DIFAL
