;SEQ_NFE;COD_UF_EMIT;TIP_FIN_NFE;ID_PROD;CEST_COMPLETO;COD_CST;NCM_COMPLETO;CFOP_COMPLETO;EMIT_CNAE_COMPLETO;EMIT_CRT;EMIT_IND_SN;DEST_CNAE_COMPLETO;DEST_SITUACAO;TIPO_IMPOSTO;DEST_IND_SN;DEST_POSSUI_IE;EMIT_CNAE_DIVISAO;EMIT_CNAE_GRUPO;EMIT_CNAE_CLASSE;DEST_CNAE_DIVISAO;DEST_CNAE_GRUPO;DEST_CNAE_CLASSE;NCM_CAPITULO;NCM_POSICAO;NCM_SUBPOSICAO;CFOP_NATUREZA;CFOP_OPERACAO;POSSUI_CEST;CEST_SEGMENTO;CEST_ITEM
0;436111372;PE;1;2929797948;0;0;94035000;6152;AUSENTE;3;N;47539000;2;ANT;0;1;AUSENTE;AUSENTE;AUSENTE;47;475;4753;94;9403;940350;6;152;0;00;00000
1;436111372;PE;1;2929797949;0;0;94035000;6152;AUSENTE;3;N;47539000;2;ANT;0;1;AUSENTE;AUSENTE;AUSENTE;47;475;4753;94;9403;940350;6;152;0;00;00000
2;436111372;PE;1;2929797950;0;0;94035000;6152;AUSENTE;3;N;47539000;2;ANT;0;1;AUSENTE;AUSENTE;AUSENTE;47;475;4753;94;9403;940350;6;152;0;00;00000
3;436111372;PE;1;2929797951;0;0;94036000;6152;AUSENTE;3;N;47539000;2;ANT;0;1;AUSENTE;AUSENTE;AUSENTE;47;475;4753;94;9403;940360;6;152;0;00;00000
4;436111372;PE;1;2929797952;0;0;94034000;6152;AUSENTE;3;N;47539000;2;ANT;0;1;AUSENTE;AUSENTE;AUSENTE;47;475;4753;94;9403;940340;6;152;0;00;00000
5;436111372;PE;1;2929797953;0;0;94042900;6152;AUSENTE;3;N;47539000;2;ANT;0;1;AUSENTE;AUSENTE;AUSENTE;47;475;4753;94;9404;940429;6;152;0;00;00000
6;436111372;PE;1;2929797954;0;0;94034000;6152;AUSENTE;3;N;47539000;2;ANT;0;1;AUSENTE;AUSENTE;AUSENTE;47;475;4753;94;9403;940340;6;152;0;00;00000
7;436111372;PE;1;2929797955;0;0;94034000;6152;AUSENTE;3;N;47539000;2;ANT;0;1;AUSENTE;AUSENTE;AUSENTE;47;475;4753;94;9403;940340;6;152;0;00;00000
8;436111372;PE;1;2929797956;0;0;94034000;6152;AUSENTE;3;N;47539000;2;ANT;0;1;AUSENTE;AUSENTE;AUSENTE;47;475;4753;94;9403;940340;6;152;0;00;00000
9;436111372;PE;1;2929797957;0;0;94034000;6152;AUSENTE;3;N;47539000;2;ANT;0;1;AUSENTE;AUSENTE;AUSENTE;47;475;4753;94;9403;940340;6;152;0;00;00000
10;436111369;PE;1;2929797927;0;0;76151000;6152;AUSENTE;3;N;47539000;2;ANT;0;1;AUSENTE;AUSENTE;AUSENTE;47;475;4753;76;7615;761510;6;152;0;00;00000
11;436278794;PE;1;2930625988;0;0;94042900;6152;AUSENTE;3;N;47539000;2;ANT;0;1;AUSENTE;AUSENTE;AUSENTE;47;475;4753;94;9404;940429;6;152;0;00;00000
12;436278794;PE;1;2930625989;0;0;94035000;6152;AUSENTE;3;N;47539000;2;ANT;0;1;AUSENTE;AUSENTE;AUSENTE;47;475;4753;94;9403;940350;6;152;0;00;00000
13;435964405;RJ;1;2929016317;2805700;0;90015000;6101;32507070;3;N;47741000;2;ANT;0;1;32;325;3250;47;477;4774;90;9001;900150;6;101;1;28;28057
14;436386205;PE;1;2931255114;0;0;28044000;6101;20142000;3;N;28691000;2;ANT;0;1;20;201;2014;28;286;2869;28;2804;280440;6;101;0;AUSENTE;AUSENTE
15;436386205;PE;1;2931255115;0;0;28112100;6101;20142000;3;N;28691000;2;ANT;0;1;20;201;2014;28;286;2869;28;2811;281121;6;101;0;AUSENTE;AUSENTE
16;436142932;PE;1;2929996108;0;0;10063021;6101;AUSENTE;3;N;46397010;2;ANT;0;1;AUSENTE;AUSENTE;AUSENTE;46;463;4639;10;1006;100630;6;101;0;AUSENTE;AUSENTE
17;436040850;PE;1;2929335922;2106400;0;85235290;6152;AUSENTE;3;N;47539000;2;ANT;0;1;AUSENTE;AUSENTE;AUSENTE;47;475;4753;85;8523;852352;6;152;1;21;21064
18;436040850;PE;1;2929335923;2108700;0;85102000;6152;AUSENTE;3;N;47539000;2;ST;0;1;AUSENTE;AUSENTE;AUSENTE;47;475;4753;85;8510;851020;6;152;1;21;21087
19;436044154;PE;1;2929359533;0;0;03074310;6101;10201020;3;N;56112010;2;ANT;1;1;10;102;1020;56;561;5611;03;0307;030743;6;101;0;AUSENTE;AUSENTE
20;436983724;PR;1;2934270104;0;0;39264000;6101;AUSENTE;1;S;AUSENTE;0;ANT;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;39;3926;392640;6;101;0;AUSENTE;AUSENTE
21;436983724;PR;1;2934270105;0;0;39264000;6101;AUSENTE;1;S;AUSENTE;0;ANT;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;39;3926;392640;6;101;0;AUSENTE;AUSENTE
22;436983724;PR;1;2934270106;0;0;39264000;6101;AUSENTE;1;S;AUSENTE;0;ANT;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;39;3926;392640;6;101;0;AUSENTE;AUSENTE
23;436983724;PR;1;2934270107;0;0;39264000;6101;AUSENTE;1;S;AUSENTE;0;ANT;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;39;3926;392640;6;101;0;AUSENTE;AUSENTE
24;436983724;PR;1;2934270108;0;0;39264000;6101;AUSENTE;1;S;AUSENTE;0;ANT;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;39;3926;392640;6;101;0;AUSENTE;AUSENTE
25;436983724;PR;1;2934270109;0;0;39264000;6101;AUSENTE;1;S;AUSENTE;0;ANT;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;39;3926;392640;6;101;0;AUSENTE;AUSENTE
26;436983724;PR;1;2934270110;0;0;39264000;6101;AUSENTE;1;S;AUSENTE;0;ANT;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;39;3926;392640;6;101;0;AUSENTE;AUSENTE
27;436983724;PR;1;2934270111;0;0;39264000;6101;AUSENTE;1;S;AUSENTE;0;ANT;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;39;3926;392640;6;101;0;AUSENTE;AUSENTE
28;436983724;PR;1;2934270112;0;0;44201900;6101;AUSENTE;1;S;AUSENTE;0;ANT;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;44;4420;442019;6;101;0;AUSENTE;AUSENTE
29;436983724;PR;1;2934270113;0;0;44201900;6101;AUSENTE;1;S;AUSENTE;0;ANT;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;44;4420;442019;6;101;0;AUSENTE;AUSENTE
30;436983724;PR;1;2934270114;0;0;44201900;6101;AUSENTE;1;S;AUSENTE;0;ANT;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;44;4420;442019;6;101;0;AUSENTE;AUSENTE
31;436983724;PR;1;2934270115;0;0;44201900;6101;AUSENTE;1;S;AUSENTE;0;ANT;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;44;4420;442019;6;101;0;AUSENTE;AUSENTE
32;436983724;PR;1;2934270116;0;0;44201900;6101;AUSENTE;1;S;AUSENTE;0;ANT;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;44;4420;442019;6;101;0;AUSENTE;AUSENTE
33;436983724;PR;1;2934270117;0;0;44201900;6101;AUSENTE;1;S;AUSENTE;0;ANT;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;44;4420;442019;6;101;0;AUSENTE;AUSENTE
34;436983724;PR;1;2934270118;0;0;44201900;6101;AUSENTE;1;S;AUSENTE;0;ANT;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;44;4420;442019;6;101;0;AUSENTE;AUSENTE
35;436983724;PR;1;2934270119;0;0;44201900;6101;AUSENTE;1;S;AUSENTE;0;ANT;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;44;4420;442019;6;101;0;AUSENTE;AUSENTE
36;436983724;PR;1;2934270120;0;0;71179000;6101;AUSENTE;1;S;AUSENTE;0;ANT;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;71;7117;711790;6;101;0;AUSENTE;AUSENTE
37;436983724;PR;1;2934270121;0;0;71179000;6101;AUSENTE;1;S;AUSENTE;0;ANT;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;71;7117;711790;6;101;0;AUSENTE;AUSENTE
38;436983724;PR;1;2934270122;0;0;71179000;6101;AUSENTE;1;S;AUSENTE;0;ANT;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;71;7117;711790;6;101;0;AUSENTE;AUSENTE
39;436983724;PR;1;2934270123;0;0;71179000;6101;AUSENTE;1;S;AUSENTE;0;ANT;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;71;7117;711790;6;101;0;AUSENTE;AUSENTE
40;436983724;PR;1;2934270124;0;0;71179000;6101;AUSENTE;1;S;AUSENTE;0;ANT;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;71;7117;711790;6;101;0;AUSENTE;AUSENTE
41;436983724;PR;1;2934270125;0;0;71179000;6101;AUSENTE;1;S;AUSENTE;0;ANT;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;71;7117;711790;6;101;0;AUSENTE;AUSENTE
42;436983724;PR;1;2934270126;0;0;71179000;6101;AUSENTE;1;S;AUSENTE;0;ANT;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;71;7117;711790;6;101;0;AUSENTE;AUSENTE
